apartmentid,name,cluster,role,baseline_adapter,baseline_verdict,baseline_unit_count,evidence,post_fix_gate
2709,Wellington Place at Olde Town,identity_natural_id,control,generic,SUCCESS,37,"The 1,000-property run emitted 89 avoidable synthetic IDs for Mercer Park and Waterford Landings even though immutable pre-format rows contained natural apartment numbers.",Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
11130,Mercer Park,identity_natural_id,affected,generic,SUCCESS,18,"The 1,000-property run emitted 89 avoidable synthetic IDs for Mercer Park and Waterford Landings even though immutable pre-format rows contained natural apartment numbers.",Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
12727,Riverway,identity_natural_id,control,generic,SUCCESS,152,"The 1,000-property run emitted 89 avoidable synthetic IDs for Mercer Park and Waterford Landings even though immutable pre-format rows contained natural apartment numbers.",Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
241798,Waterford Landings,identity_natural_id,affected,generic,SUCCESS,71,"The 1,000-property run emitted 89 avoidable synthetic IDs for Mercer Park and Waterford Landings even though immutable pre-format rows contained natural apartment numbers.",Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
5091,Rise Broadway,entrata_parallel_roster,affected,entrata,SUCCESS,48,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
26523,Concierge Apartments,entrata_parallel_roster,affected,entrata,SUCCESS,54,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
29448,Manor Homes of Fox Crest,entrata_parallel_roster,affected,entrata,SUCCESS,26,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
37065,Pointe Inverness,entrata_parallel_roster,affected,entrata,SUCCESS,4,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
48052,Summerville Station,entrata_parallel_roster,affected,entrata,SUCCESS,16,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
48092,Edgewater Village,entrata_parallel_roster,affected,entrata,SUCCESS,108,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
62743,Residences at Falcon North,entrata_parallel_roster,affected,entrata,SUCCESS,48,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
280797,Aspire,entrata_parallel_roster,affected,entrata,SUCCESS,18,Eight Entrata properties emitted the same visible apartment roster from both modern-card and per-plan-card response families.,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
2709,Wellington Place at Olde Town,negative_status_date,control,generic,SUCCESS,37,Beechwood emitted capture-date availability for eight PENDING or LEASED apartments because relative Available Now text outranked status.,Negative status suppresses relative capture-date availability while explicit future dates and positive Available Now dates survive.
4170,Beechwood,negative_status_date,affected,generic,SUCCESS,36,Beechwood emitted capture-date availability for eight PENDING or LEASED apartments because relative Available Now text outranked status.,Negative status suppresses relative capture-date availability while explicit future dates and positive Available Now dates survive.
12727,Riverway,negative_status_date,control,generic,SUCCESS,152,Beechwood emitted capture-date availability for eight PENDING or LEASED apartments because relative Available Now text outranked status.,Negative status suppresses relative capture-date availability while explicit future dates and positive Available Now dates survive.
