severity,code,apartment_id,name,adapter,verdict,unit_id,field,observed,expected,evidence
critical,CANONICAL_UNIQUENESS_GATE_FAILED,1084,,UNATTRIBUTED,FAILED_NO_DATA,,canonical_id_uniqueness,null,passed=true,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,253,"availability_status,availability_date_provenance","PENDING,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,271,"availability_status,availability_date_provenance","PENDING,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,328,"availability_status,availability_date_provenance","PENDING,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,226,"availability_status,availability_date_provenance","LEASED,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,326,"availability_status,availability_date_provenance","PENDING,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,151,"availability_status,availability_date_provenance","LEASED,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,136,"availability_status,availability_date_provenance","PENDING,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,NEGATIVE_STATUS_CAPTURE_DATE,4170,Beechwood,generic,SUCCESS,101,"availability_status,availability_date_provenance","PENDING,available_now,2026-08-02",explicitly negative rows have no manufactured capture date,
critical,FAILURE_VERDICT_WITH_UNITS,4579,Laurel Crossing,entrata,DEAD_URL,,"_meta.verdict,units","DEAD_URL,5",admitted physical inventory yields SUCCESS,
