cluster,apartment_id,name,role,adapter,verdict,unit_count,plan_count,runtime_exercised,blocking_issue_count,status,post_fix_gate
identity_natural_id,2709,Wellington Place at Olde Town,control,generic_plan_text,SUCCESS,37,0,1,0,PASS_RUNTIME_EXERCISED,Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
identity_natural_id,11130,Mercer Park,affected,generic,SUCCESS,248,4,1,0,PASS_RUNTIME_EXERCISED,Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
identity_natural_id,12727,Riverway,control,generic,SUCCESS,152,11,1,0,PASS_RUNTIME_EXERCISED,Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
identity_natural_id,241798,Waterford Landings,affected,generic,SUCCESS,359,18,1,0,PASS_RUNTIME_EXERCISED,Natural pre-format apartment numbers are canonical; no inferred_ or unkeyable_ ID is emitted for the two affected properties.
entrata_parallel_roster,5091,Rise Broadway,affected,entrata,SUCCESS,24,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
entrata_parallel_roster,26523,Concierge Apartments,affected,entrata,SUCCESS,53,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
entrata_parallel_roster,29448,Manor Homes of Fox Crest,affected,entrata,SUCCESS,14,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
entrata_parallel_roster,37065,Pointe Inverness,affected,entrata,SUCCESS,2,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
entrata_parallel_roster,48052,Summerville Station,affected,entrata,SUCCESS,8,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
entrata_parallel_roster,48092,Edgewater Village,affected,entrata,SUCCESS,85,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
entrata_parallel_roster,62743,Residences at Falcon North,affected,entrata,SUCCESS,24,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
entrata_parallel_roster,280797,Aspire,affected,entrata,SUCCESS,9,0,1,0,PASS_RUNTIME_EXERCISED,"One coherent comparable Entrata family wins, canonical IDs are unique, and the actual unit-producing response is archived."
negative_status_date,2709,Wellington Place at Olde Town,control,generic_plan_text,SUCCESS,37,0,1,0,PASS_RUNTIME_EXERCISED,Negative status suppresses relative capture-date availability while explicit future dates and positive Available Now dates survive.
negative_status_date,4170,Beechwood,affected,generic,SUCCESS,36,2,1,0,PASS_RUNTIME_EXERCISED,Negative status suppresses relative capture-date availability while explicit future dates and positive Available Now dates survive.
negative_status_date,12727,Riverway,control,generic,SUCCESS,152,11,1,0,PASS_RUNTIME_EXERCISED,Negative status suppresses relative capture-date availability while explicit future dates and positive Available Now dates survive.
dead_entry_salvage,4579,Laurel Crossing,affected,entrata,SUCCESS,5,0,1,0,PASS_RUNTIME_EXERCISED,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
dead_entry_salvage,12566,High Point Crossing,affected,g5,SUCCESS,7,0,1,0,PASS_RUNTIME_EXERCISED,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
dead_entry_salvage,36168,Bennington Hills,affected,encoreskyline_template,SUCCESS,3,0,1,0,PASS_RUNTIME_EXERCISED,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
dead_entry_salvage,46108,Stratford Mill,affected,realpage_oll,SUCCESS,68,0,1,0,PASS_RUNTIME_EXERCISED,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
dead_entry_salvage,218893,Volta at Voyager I,affected,repli360,SUCCESS,14,0,1,0,PASS_RUNTIME_EXERCISED,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
dead_entry_salvage,226992,Forest Ridge,affected,knock,SUCCESS,10,0,0,0,NOT_TARGET_ROUTE_EXERCISED,A dead entry URL remains terminal only when no physical inventory was recovered; recovered units reach the normal success verdict.
timeout_diagnostics,1084,Black Hawk,affected,rentcafe_layout_tab,SUCCESS,9,0,0,0,NOT_TARGET_ROUTE_EXERCISED,"Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
timeout_diagnostics,27165,Regatta Apartments Homes,affected,entrata,SUCCESS_PLAN_LEVEL,0,10,0,0,NOT_TARGET_ROUTE_EXERCISED,"Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
timeout_diagnostics,32097,Clemmons Trace Village,affected,resman,SUCCESS_PLAN_LEVEL,0,1,0,0,NOT_TARGET_ROUTE_EXERCISED,"Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
timeout_diagnostics,52697,Clearview,affected,,MISSING,0,0,0,1,FAIL_OUTPUT_CONTRACT,"Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
timeout_diagnostics,70238,Grace Apartments,affected,entrata,SUCCESS_PLAN_LEVEL,0,6,0,0,NOT_TARGET_ROUTE_EXERCISED,"Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
timeout_diagnostics,272772,Hawkeye Village,affected,generic,FAILED_NO_DATA,0,0,0,0,NOT_TARGET_ROUTE_EXERCISED,"Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
timeout_diagnostics,274909,The Sinclair II,affected,onsite_apply,SUCCESS,4,0,0,0,NOT_TARGET_ROUTE_EXERCISED,"Every terminal result, including a timeout, writes an extraction snapshot and retains any source/provenance evidence available before cancellation."
managebuilding_archive,14943,Estates at Eagle's Pointe,control,generic_plan_text,SUCCESS_PLAN_LEVEL,0,12,0,0,NOT_TARGET_ROUTE_EXERCISED,"Actual public rental-index bytes and lineage are archived, and neither control admits Town Center or sibling-community inventory."
managebuilding_archive,74528,Grand Oaks,control,generic_plan_text,SUCCESS_PLAN_LEVEL,0,3,0,0,NOT_TARGET_ROUTE_EXERCISED,"Actual public rental-index bytes and lineage are archived, and neither control admits Town Center or sibling-community inventory."
managebuilding_archive,280355,Town Center Apartments,affected,squarespace_nopms,SUCCESS,17,0,1,0,PASS_RUNTIME_EXERCISED,"Actual public rental-index bytes and lineage are archived, and neither control admits Town Center or sibling-community inventory."
